1,"Mon,Wed,Fri",active
2,"Tue,Thu,Sat",active
3,"Mon,Tue,Wed,Thu,Fri,Sat,Sun",active
4,"Mon,Wed,Fri,Sun",active
5,"Tue,Thu,Sat",active
6,"Mon,Wed,Fri",active
7,"Mon,Tue,Wed,Thu,Fri",active
8,"Sat,Sun",active
9,"Mon,Tue,Wed,Thu,Fri",active
10,"Mon,Tue,Wed,Thu,Fri,Sat,Sun",active
11,"Mon,Wed,Fri",active
12,"Tue,Thu,Sat,Sun",active
13,"Mon,Tue,Wed,Thu,Fri",active
14,"Sun",active
15,"Mon,Wed,Fri",active
16,"Tue,Thu,Sat",active
17,"Mon,Tue,Wed,Thu,Fri,Sat,Sun",active
18,"Mon,Wed,Fri",active
19,"Tue,Thu,Sat,Sun",active
20,"Mon,Tue,Wed,Thu,Fri,Sat,Sun",active
